Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
503,Nenad Tomović,rs,DF,Chievo,29,1987,25.6,0,13,2,15.4,0.51,0.08,0.00,0.00,0,0,0,2.1,2.1,0.16,-2.1,-2.1,/en/players/6aafdc27/matchlogs/2017-2018/summary/Nenad-Tomovic-Match-Logs
504,Lorenzo Tonelli,it,DF,Napoli,27,1990,3.9,1,3,2,66.7,0.77,0.51,0.33,0.50,0,0,0,0.1,0.1,0.04,+0.9,+0.9,/en/players/8cc29864/matchlogs/2017-2018/summary/Lorenzo-Tonelli-Match-Logs
505,Aleksandar Tonev,bg,"FW,MF",Crotone,27,1990,4.5,0,10,3,30.0,2.24,0.67,0.00,0.00,0,0,0,0.6,0.6,0.06,-0.6,-0.6,/en/players/c15d1af9/matchlogs/2017-2018/summary/Aleksandar-Tonev-Match-Logs
506,Vasilis Torosidis,gr,DF,Bologna,32,1985,9.1,0,2,1,50.0,0.22,0.11,0.00,0.00,0,0,0,0.0,0.0,0.02,0.0,0.0,/en/players/8ea2c099/matchlogs/2017-2018/summary/Vasilis-Torosidis-Match-Logs
507,Emanuele Torrasi,it,MF,Milan,18,1999,0.1,0,,0,,,0.00,,,,0,0,,,,,,/en/players/16bc48f8/matchlogs/2017-2018/summary/Emanuele-Torrasi-Match-Logs
508,Lucas Torreira,uy,MF,Sampdoria,21,1996,35.3,4,34,10,29.4,0.96,0.28,0.12,0.40,7,0,0,1.6,1.6,0.05,+2.4,+2.4,/en/players/52611641/matchlogs/2017-2018/summary/Lucas-Torreira-Match-Logs
509,Alin Toșca,ro,DF,Benevento,25,1992,13.0,0,3,0,0.0,0.23,0.00,0.00,,0,0,0,0.2,0.2,0.06,-0.2,-0.2,/en/players/322ba2df/matchlogs/2017-2018/summary/Alin-Tosca-Match-Logs
510,Marcello Trotta,it,FW,Crotone,24,1992,25.1,7,62,23,37.1,2.47,0.92,0.08,0.22,0,2,3,7.9,5.6,0.09,-0.9,-0.6,/en/players/acdad0aa/matchlogs/2017-2018/summary/Marcello-Trotta-Match-Logs
511,Marco Tumminello,it,FW,Roma,18,1998,0.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/5bdd44d8/matchlogs/2017-2018/summary/Marco-Tumminello-Match-Logs
512,Marco Tumminello,it,FW,Crotone,18,1998,2.3,3,8,6,75.0,3.55,2.66,0.38,0.50,0,0,0,1.0,1.0,0.12,+2.0,+2.0,/en/players/5bdd44d8/matchlogs/2017-2018/summary/Marco-Tumminello-Match-Logs
