player,nation,position,squad,age,born,matches_played,startsminutes,goals,assists,penalties,penalties_scored,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_and_assists_per_90,goals_minus_pens_per_90,goals_plus_assists_minus_pens_per_90,xG,npxG,xA,xG90,xA90,xG_plus_xA_90,npxG90,npxG_plus_xA90
Fabio Quagliarella,it,FW,Sampdoria,36,1983,28,,11,3,5,7,2,0,0.44,0.12,0.55,0.24,0.36,13.2,7.8,4.4,0.52,0.18,0.70,0.31,0.49
Adrien Rabiot,fr,MF,Juventus,24,1995,28,,1,1,0,0,7,1,0.05,0.05,0.09,0.05,0.09,1.0,1.0,0.8,0.05,0.04,0.08,0.05,0.08
Ivan Radovanović,rs,MF,Genoa,30,1988,19,,0,1,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.6,0.06,0.04,0.10,0.06,0.10
Ionuț Radu,ro,GK,Genoa,22,1997,17,,0,1,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00
Ștefan Radu,ro,DF,Lazio,32,1986,29,,1,0,0,0,8,0,0.04,0.00,0.04,0.04,0.04,0.2,0.2,0.7,0.01,0.03,0.04,0.01,0.04
Boris Radunović,rs,GK,Hellas Verona,23,1996,3,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Rafael,br,GK,Cagliari,37,1982,6,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Daniele Ragatzu,it,"MF,FW",Cagliari,27,1991,13,,1,0,0,0,1,0,0.29,0.00,0.29,0.29,0.29,0.6,0.6,0.8,0.16,0.24,0.41,0.16,0.41
Gastón Ramírez,uy,"MF,FW",Sampdoria,28,1990,26,,7,2,3,3,5,0,0.45,0.13,0.58,0.26,0.39,6.2,3.9,3.1,0.40,0.20,0.60,0.26,0.46
Aaron Ramsey,wal,MF,Juventus,28,1990,24,,3,1,0,0,2,0,0.26,0.09,0.34,0.26,0.34,2.7,2.7,1.6,0.23,0.14,0.37,0.23,0.37
Luca Ranieri,it,DF,Fiorentina,20,1999,3,,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.04,0.27,0.30,0.04,0.30
Andrea Ranocchia,it,DF,Inter,31,1988,7,,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.05,0.00,0.05,0.05,0.05
Giacomo Raspadori,it,"MF,FW",Sassuolo,19,2000,11,,2,0,0,0,0,0,0.68,0.00,0.68,0.68,0.68,1.7,1.7,0.2,0.59,0.06,0.66,0.59,0.66
Ante Rebić,hr,FW,Milan,25,1993,26,,11,3,0,0,5,0,0.71,0.19,0.90,0.71,0.90,6.7,6.7,2.9,0.43,0.19,0.62,0.43,0.62
Arkadiusz Reca,pl,DF,SPAL,24,1995,25,,0,2,0,0,2,0,0.00,0.09,0.09,0.00,0.09,1.9,1.9,1.7,0.09,0.08,0.17,0.09,0.17
Vasco Regini,it,DF,Sampdoria,28,1990,3,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
Vasco Regini,it,DF,Parma,28,1990,2,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Pepe Reina,es,GK,Milan,36,1982,1,,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Franck Ribéry,fr,FW,Fiorentina,36,1983,21,,3,3,0,0,3,0,0.19,0.19,0.38,0.19,0.38,2.9,2.9,3.9,0.19,0.25,0.44,0.19,0.44
Davide Riccardi,it,DF,Lecce,23,1996,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Emiliano Rigoni,ar,"MF,FW",Sampdoria,26,1993,8,,0,1,0,0,2,0,0.00,0.21,0.21,0.00,0.21,1.2,1.2,0.7,0.25,0.15,0.40,0.25,0.40
Tomás Rincón,ve,MF,Torino,31,1988,32,,1,3,0,0,10,0,0.03,0.10,0.13,0.03,0.13,1.0,1.0,1.6,0.03,0.05,0.09,0.03,0.09
Andrea Rispoli,it,DF,Lecce,30,1988,28,,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.2,0.04,0.06,0.10,0.04,0.10
Ricardo Rodríguez,ch,DF,Milan,26,1992,5,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.01,0.04,0.04,0.01,0.04
Marko Rog,hr,MF,Cagliari,24,1995,30,,1,1,0,0,10,0,0.04,0.04,0.08,0.04,0.08,2.0,2.0,1.6,0.08,0.06,0.14,0.08,0.14
Rogério,br,DF,Sassuolo,21,1998,15,,1,1,0,0,6,0,0.09,0.09,0.18,0.09,0.18,0.4,0.4,1.1,0.03,0.10,0.13,0.03,0.13
Filippo Romagna,it,DF,Sassuolo,22,1997,18,,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02
