Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
86,João Cancelo,pt,DF,Juventus,24,1994,21.9,75,3.43,61,1,5,6,2,9,0.41,61,1,5,6,2,0,/en/players/bd6351cd/matchlogs/2018-2019/gca/Joao-Cancelo-Match-Logs
87,Antonio Candreva,it,"FW,MF",Inter,31,1987,5.6,29,5.20,19,7,1,0,2,2,0.36,19,7,1,0,2,0,/en/players/356c9002/matchlogs/2018-2019/gca/Antonio-Candreva-Match-Logs
88,Luan Capanni,br,FW,Lazio,18,2000,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/28237d7e/matchlogs/2018-2019/gca/Luan-Capanni-Match-Logs
89,Leonardo Capezzi,it,MF,Empoli,23,1995,8.6,7,0.82,6,0,0,0,1,0,0.00,6,0,0,0,1,0,/en/players/07ea0ef2/matchlogs/2018-2019/gca/Leonardo-Capezzi-Match-Logs
90,Gianluca Caprari,it,"FW,MF",Sampdoria,25,1993,11.5,34,2.97,19,5,5,2,3,7,0.61,19,5,5,2,3,0,/en/players/54e53b7e/matchlogs/2018-2019/gca/Gianluca-Caprari-Match-Logs
91,Marco Capuano,it,DF,Frosinone,26,1991,25.6,10,0.39,9,0,0,1,0,0,0.00,9,0,0,1,0,0,/en/players/616aea37/matchlogs/2018-2019/gca/Marco-Capuano-Match-Logs
92,Francesco Caputo,it,FW,Empoli,30,1987,38.0,98,2.58,76,0,6,11,4,16,0.42,76,0,6,11,4,1,/en/players/5bd72174/matchlogs/2018-2019/gca/Francesco-Caputo-Match-Logs
93,Francesco Cassata,it,"MF,FW",Frosinone,21,1997,12.5,26,2.08,20,1,4,0,1,3,0.24,20,1,4,0,1,0,/en/players/96960855/matchlogs/2018-2019/gca/Francesco-Cassata-Match-Logs
94,Timothy Castagne,be,"DF,MF",Atalanta,22,1995,22.3,47,2.11,40,2,3,1,1,6,0.27,40,2,3,1,1,0,/en/players/197640fd/matchlogs/2018-2019/gca/Timothy-Castagne-Match-Logs
95,Samu Castillejo,es,"FW,MF",Milan,23,1995,11.4,35,3.08,25,6,3,1,0,3,0.26,25,6,3,1,0,0,/en/players/130a7a3f/matchlogs/2018-2019/gca/Samu-Castillejo-Match-Logs
96,Lucas Castro,ar,"MF,FW",Cagliari,29,1989,10.0,25,2.51,21,0,4,0,0,5,0.50,21,0,4,0,0,0,/en/players/56b2957b/matchlogs/2018-2019/gca/Lucas-Castro-Match-Logs
97,Danilo Cataldi,it,"MF,FW",Lazio,23,1994,6.4,27,4.20,11,13,1,1,1,1,0.16,11,13,1,1,1,0,/en/players/ba3d3bea/matchlogs/2018-2019/gca/Danilo-Cataldi-Match-Logs
98,Federico Ceccherini,it,DF,Fiorentina,26,1992,11.0,9,0.81,7,1,1,0,0,0,0.00,7,1,1,0,0,0,/en/players/d9624b51/matchlogs/2018-2019/gca/Federico-Ceccherini-Match-Logs
99,Žan Celar,si,FW,Roma,19,1999,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/868c6958/matchlogs/2018-2019/gca/Zan-Celar-Match-Logs
100,Luca Ceppitelli,it,DF,Cagliari,28,1989,22.8,8,0.35,6,0,0,1,0,3,0.13,6,0,0,1,0,1,/en/players/7d50454d/matchlogs/2018-2019/gca/Luca-Ceppitelli-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,
101,Fabio Ceravolo,it,FW,Parma,31,1987,13.2,22,1.67,15,0,1,5,0,1,0.08,15,0,1,5,0,1,/en/players/4cc93246/matchlogs/2018-2019/gca/Fabio-Ceravolo-Match-Logs
102,Alberto Cerri,it,FW,Cagliari,22,1996,7.4,15,2.01,11,0,0,3,1,0,0.00,11,0,0,3,1,0,/en/players/1079c685/matchlogs/2018-2019/gca/Alberto-Cerri-Match-Logs
103,Boštjan Cesar,si,DF,Chievo,36,1982,12.0,2,0.17,1,0,0,1,0,0,0.00,1,0,0,1,0,0,/en/players/c1d18f10/matchlogs/2018-2019/gca/Bostjan-Cesar-Match-Logs
104,Raman Chibsah,gh,MF,Frosinone,25,1993,29.1,43,1.48,33,1,6,2,1,2,0.07,33,1,6,2,1,0,/en/players/aa5a409a/matchlogs/2018-2019/gca/Raman-Chibsah-Match-Logs
105,Giorgio Chiellini,it,DF,Juventus,33,1984,22.1,23,1.04,20,0,0,2,1,4,0.18,20,0,0,2,1,0,/en/players/e85fb9b8/matchlogs/2018-2019/gca/Giorgio-Chiellini-Match-Logs
106,Federico Chiesa,it,"FW,MF",Fiorentina,20,1997,33.7,125,3.71,82,1,18,11,12,13,0.39,82,1,18,11,12,1,/en/players/b0f7e36c/matchlogs/2018-2019/gca/Federico-Chiesa-Match-Logs
107,Vlad Chiricheș,ro,DF,Napoli,28,1989,1.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/c316607a/matchlogs/2018-2019/gca/Vlad-Chiriches-Match-Logs
108,Camillo Ciano,it,"FW,MF",Frosinone,28,1990,27.3,113,4.14,60,28,6,3,16,7,0.26,60,28,6,3,16,0,/en/players/2114abf9/matchlogs/2018-2019/gca/Camillo-Ciano-Match-Logs
109,Amato Ciciretti,it,"FW,MF",Parma,24,1993,1.5,2,1.29,1,1,0,0,0,0,0.00,1,1,0,0,0,0,/en/players/1ab0b878/matchlogs/2018-2019/gca/Amato-Ciciretti-Match-Logs
110,Luca Cigarini,it,MF,Cagliari,32,1986,18.7,51,2.73,22,25,1,2,1,6,0.32,22,25,1,2,1,0,/en/players/ae64d449/matchlogs/2018-2019/gca/Luca-Cigarini-Match-Logs
111,Daniel Ciofani,it,FW,Frosinone,33,1985,18.0,28,1.56,21,0,1,5,0,4,0.22,21,0,1,5,0,1,/en/players/b09a3ecc/matchlogs/2018-2019/gca/Daniel-Ciofani-Match-Logs
112,Thiago Cionek,pl,DF,SPAL,32,1986,28.2,34,1.20,30,1,0,1,2,4,0.14,30,1,0,1,2,0,/en/players/46f5c54d/matchlogs/2018-2019/gca/Thiago-Cionek-Match-Logs
113,Omar Colley,gm,DF,Sampdoria,25,1992,19.6,6,0.31,3,1,0,2,0,0,0.00,3,1,0,2,0,0,/en/players/8b95acda/matchlogs/2018-2019/gca/Omar-Colley-Match-Logs
114,Andrea Consigli,it,GK,Sassuolo,31,1987,35.7,1,0.03,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/8cabdc1e/matchlogs/2018-2019/gca/Andrea-Consigli-Match-Logs
115,Andrea Conti,it,DF,Milan,24,1994,5.6,16,2.88,13,3,0,0,0,2,0.36,13,3,0,0,0,0,/en/players/8fef5412/matchlogs/2018-2019/gca/Andrea-Conti-Match-Logs
116,Gabriele Corbo,it,DF,Bologna,18,2000,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/091795f2/matchlogs/2018-2019/gca/Gabriele-Corbo-Match-Logs
117,Ante Ćorić,hr,MF,Roma,21,1997,0.3,1,3.75,0,1,0,0,0,0,0.00,0,1,0,0,0,0,/en/players/2d3f7367/matchlogs/2018-2019/gca/Ante-Coric-Match-Logs
118,Joaquín Correa,ar,"FW,MF",Lazio,23,1994,21.4,117,5.46,75,5,18,8,11,16,0.75,75,5,18,8,11,0,/en/players/45b9b619/matchlogs/2018-2019/gca/Joaquin-Correa-Match-Logs
119,Douglas Costa,br,"FW,MF",Juventus,27,1990,6.9,36,5.22,28,1,3,2,2,3,0.43,28,1,3,2,2,0,/en/players/4fa7cb9b/matchlogs/2018-2019/gca/Douglas-Costa-Match-Logs
120,Filippo Costa,it,"MF,DF",SPAL,23,1995,6.3,14,2.23,9,2,2,1,0,2,0.32,9,2,2,1,0,0,/en/players/00528660/matchlogs/2018-2019/gca/Filippo-Costa-Match-Logs
121,Alessio Cragno,it,GK,Cagliari,24,1994,38.0,2,0.05,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/f554e29b/matchlogs/2018-2019/gca/Alessio-Cragno-Match-Logs
