Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
77,Martín Cáceres,uy,DF,Juventus,31,1987,9,7,628,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.0,0.05,0.3,0.05,/en/players/e94d79e3/matchlogs/2018-2019/summary/Martin-Caceres-Match-Logs
78,Martín Cáceres,uy,"DF,FW",Lazio,31,1987,4,3,307,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.0,0.02,0.1,0.02,/en/players/e94d79e3/matchlogs/2018-2019/summary/Martin-Caceres-Match-Logs
79,Felipe Caicedo,ec,FW,Lazio,29,1988,28,17,"1,371",8,2,1,1,4,0,8,2,0.66,0.46,0.59,6.4,5.6,1.6,6.4,1.6,0.53,5.6,0.48,/en/players/93b891d1/matchlogs/2018-2019/summary/Felipe-Caicedo-Match-Logs
80,Arturo Calabresi,it,DF,Bologna,22,1996,18,16,"1,412",1,0,0,0,8,0,1,0,0.06,0.06,0.06,0.2,0.2,0.3,0.2,0.3,0.03,0.2,0.03,/en/players/34bb6fbd/matchlogs/2018-2019/summary/Arturo-Calabresi-Match-Logs
81,Davide Calabria,it,DF,Milan,21,1996,26,22,"1,950",1,2,0,0,5,0,1,2,0.14,0.05,0.14,0.5,0.5,2.1,0.5,2.1,0.12,0.5,0.12,/en/players/2146785a/matchlogs/2018-2019/summary/Davide-Calabria-Match-Logs
82,Hakan Çalhanoğlu,tr,"FW,MF",Milan,24,1994,36,34,"2,884",3,6,0,0,3,0,3,6,0.28,0.09,0.28,5.7,5.7,5.8,5.7,5.8,0.36,5.7,0.36,/en/players/cd0fa27b/matchlogs/2018-2019/summary/Hakan-Calhanoglu-Match-Logs
83,José Callejón,es,"MF,FW",Napoli,31,1987,34,29,"2,650",3,10,0,0,1,0,3,10,0.44,0.10,0.44,5.3,5.3,9.2,5.3,9.2,0.49,5.3,0.49,/en/players/78841da9/matchlogs/2018-2019/summary/Jose-Callejon-Match-Logs
84,Joel Campbell,cr,"FW,MF",Frosinone,26,1992,17,11,891,0,3,0,0,4,0,0,3,0.30,0.00,0.30,0.9,0.9,1.3,0.9,1.3,0.23,0.9,0.23,/en/players/895ff3ca/matchlogs/2018-2019/summary/Joel-Campbell-Match-Logs
85,Emre Can,de,MF,Juventus,24,1994,29,20,"1,811",4,1,1,1,7,0,4,1,0.25,0.15,0.20,3.0,2.3,2.8,3.0,2.8,0.29,2.3,0.25,/en/players/a65ce836/matchlogs/2018-2019/summary/Emre-Can-Match-Logs
86,João Cancelo,pt,DF,Juventus,24,1994,25,22,"1,968",1,3,0,0,6,0,1,3,0.18,0.05,0.18,1.4,1.4,3.4,1.4,3.4,0.22,1.4,0.22,/en/players/bd6351cd/matchlogs/2018-2019/summary/Joao-Cancelo-Match-Logs
87,Antonio Candreva,it,"FW,MF",Inter,31,1987,18,5,502,1,0,0,0,0,0,1,0,0.18,0.18,0.18,1.8,1.8,1.1,1.8,1.1,0.52,1.8,0.52,/en/players/356c9002/matchlogs/2018-2019/summary/Antonio-Candreva-Match-Logs
88,Luan Capanni,br,FW,Lazio,18,2000,1,0,9,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,/en/players/28237d7e/matchlogs/2018-2019/summary/Luan-Capanni-Match-Logs
89,Leonardo Capezzi,it,MF,Empoli,23,1995,12,9,772,0,0,0,0,4,0,0,0,0.00,0.00,0.00,0.5,0.5,0.3,0.5,0.3,0.10,0.5,0.10,/en/players/07ea0ef2/matchlogs/2018-2019/summary/Leonardo-Capezzi-Match-Logs
90,Gianluca Caprari,it,"FW,MF",Sampdoria,25,1993,21,12,"1,031",6,2,0,0,1,0,6,2,0.70,0.52,0.70,2.6,2.6,1.4,2.6,1.4,0.35,2.6,0.35,/en/players/54e53b7e/matchlogs/2018-2019/summary/Gianluca-Caprari-Match-Logs
91,Marco Capuano,it,DF,Frosinone,26,1991,27,27,"2,307",0,0,0,0,5,1,0,0,0.00,0.00,0.00,0.5,0.5,0.3,0.5,0.3,0.03,0.5,0.03,/en/players/616aea37/matchlogs/2018-2019/summary/Marco-Capuano-Match-Logs
92,Francesco Caputo,it,FW,Empoli,30,1987,38,38,"3,420",16,3,3,6,3,0,16,3,0.50,0.34,0.42,17.7,13.2,5.8,17.7,5.8,0.62,13.2,0.50,/en/players/5bd72174/matchlogs/2018-2019/summary/Francesco-Caputo-Match-Logs
93,Francesco Cassata,it,"MF,FW",Frosinone,21,1997,19,14,"1,124",2,2,0,0,9,1,2,2,0.32,0.16,0.32,0.6,0.6,0.5,0.6,0.5,0.09,0.6,0.09,/en/players/96960855/matchlogs/2018-2019/summary/Francesco-Cassata-Match-Logs
94,Timothy Castagne,be,"DF,MF",Atalanta,22,1995,28,21,"2,006",4,3,0,0,3,0,4,3,0.31,0.18,0.31,2.1,2.1,2.5,2.1,2.5,0.20,2.1,0.20,/en/players/197640fd/matchlogs/2018-2019/summary/Timothy-Castagne-Match-Logs
