Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
79,Felipe Caicedo,ec,FW,Lazio,29,1988,15.2,19,13,5,7,7,19,12,8.3,11,278,71,25.5,5,7,7,5,3,0,2,4,23,4,0,/en/players/93b891d1/matchlogs/2018-2019/defense/Felipe-Caicedo-Match-Logs
80,Arturo Calabresi,it,DF,Bologna,22,1996,15.7,37,23,15,20,2,37,38,44.7,21,248,66,26.6,15,20,2,26,5,0,21,34,71,58,0,/en/players/34bb6fbd/matchlogs/2018-2019/defense/Arturo-Calabresi-Match-Logs
81,Davide Calabria,it,DF,Milan,21,1996,21.7,79,43,61,11,7,79,76,48.7,39,364,105,28.8,61,11,7,56,1,0,55,31,110,69,1,/en/players/2146785a/matchlogs/2018-2019/defense/Davide-Calabria-Match-Logs
82,Hakan Çalhanoğlu,tr,"FW,MF",Milan,24,1994,32.0,54,44,21,21,12,54,62,30.6,43,542,138,25.5,21,21,12,38,6,0,32,28,82,13,1,/en/players/cd0fa27b/matchlogs/2018-2019/defense/Hakan-Calhanoglu-Match-Logs
83,José Callejón,es,"MF,FW",Napoli,31,1987,29.4,35,21,12,16,7,35,71,21.1,56,547,124,22.7,12,16,7,48,5,0,43,21,56,6,0,/en/players/78841da9/matchlogs/2018-2019/defense/Jose-Callejon-Match-Logs
84,Joel Campbell,cr,"FW,MF",Frosinone,26,1992,9.9,11,9,6,3,2,11,10,10.0,9,165,26,15.8,6,3,2,3,0,0,3,4,15,3,0,/en/players/895ff3ca/matchlogs/2018-2019/defense/Joel-Campbell-Match-Logs
85,Emre Can,de,MF,Juventus,24,1994,20.1,73,58,28,35,10,73,57,50.9,28,496,138,27.8,28,35,10,51,13,0,38,30,103,37,1,/en/players/a65ce836/matchlogs/2018-2019/defense/Emre-Can-Match-Logs
86,João Cancelo,pt,DF,Juventus,24,1994,21.9,50,32,22,18,10,50,52,40.4,31,260,62,23.8,22,18,10,34,4,0,30,15,65,31,0,/en/players/bd6351cd/matchlogs/2018-2019/defense/Joao-Cancelo-Match-Logs
87,Antonio Candreva,it,"FW,MF",Inter,31,1987,5.6,1,0,0,1,0,1,9,0.0,9,122,24,19.7,0,1,0,5,0,0,5,4,5,3,0,/en/players/356c9002/matchlogs/2018-2019/defense/Antonio-Candreva-Match-Logs
88,Luan Capanni,br,FW,Lazio,18,2000,0.1,1,1,0,0,1,1,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,1,0,0,/en/players/28237d7e/matchlogs/2018-2019/defense/Luan-Capanni-Match-Logs
89,Leonardo Capezzi,it,MF,Empoli,23,1995,8.6,19,14,7,10,2,19,16,37.5,10,238,59,24.8,7,10,2,21,6,0,15,10,29,8,0,/en/players/07ea0ef2/matchlogs/2018-2019/defense/Leonardo-Capezzi-Match-Logs
90,Gianluca Caprari,it,"FW,MF",Sampdoria,25,1993,11.5,13,7,4,5,4,13,11,27.3,8,239,53,22.2,4,5,4,10,0,0,10,4,17,2,0,/en/players/54e53b7e/matchlogs/2018-2019/defense/Gianluca-Caprari-Match-Logs
91,Marco Capuano,it,DF,Frosinone,26,1991,25.6,60,37,41,19,0,60,46,47.8,24,349,106,30.4,41,19,0,55,24,0,31,34,94,133,0,/en/players/616aea37/matchlogs/2018-2019/defense/Marco-Capuano-Match-Logs
92,Francesco Caputo,it,FW,Empoli,30,1987,38.0,15,11,1,7,7,15,10,20.0,8,503,118,23.5,1,7,7,18,6,0,12,4,19,12,0,/en/players/5bd72174/matchlogs/2018-2019/defense/Francesco-Caputo-Match-Logs
93,Francesco Cassata,it,"MF,FW",Frosinone,21,1997,12.5,18,12,14,3,1,18,23,26.1,17,283,65,23.0,14,3,1,11,1,0,10,6,24,14,0,/en/players/96960855/matchlogs/2018-2019/defense/Francesco-Cassata-Match-Logs
